Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Alstroemeriaceae Alstroemeria viridiflora,1783 bp,1,(No data),(No data),"1783 (27 'N', 1097 indels)",(No data),
Alstroemeriaceae Bomarea edulis,1783 bp,1,(No data),(No data),"1783 (33 'N', 1097 indels)",(No data),
Amaranthaceae Achyranthes aspera,4584 bp,2,(No data),2414 (1517 indels),(No data),2170 (676 indels),
Amaranthaceae Alternanthera dentata,2506 bp,2,(No data),1925 (1243 indels),(No data),581 (29 indels),
Amaranthaceae Alternanthera tenella,3214 bp,2,(No data),2292 (1492 indels),(No data),922 (344 indels),
Amaranthaceae Alternanthera flavescens,7720 bp,1,(No data),7720 (5272 indels),(No data),(No data),
Amaranthaceae Alternanthera philoxeroides,4709 bp,3,1505 (104 indels),1939 (1244 indels),(No data),1265 (26 indels),
Amaranthaceae Alternanthera pungens,9378 bp,2,(No data),"7741 (1 'N', 5275 indels)",(No data),1637 (294 indels),
Amaranthaceae Alternanthera sessilis,9295 bp,2,(No data),7747 (5255 indels),(No data),1548 (227 indels),
Amaranthaceae Celosia comp. OUTSIDE,8942 bp,4,1571 (121 indels),2427 (1527 indels),3612 (1673 indels),"1332 (7 'N', 26 indels)",
Amaranthaceae Chamissoa altissima,12984 bp,3,(No data),"7735 (3 'N', 5283 indels)","3612 (1 'N', 1676 indels)",1637 (294 indels),
Amaranthaceae Cyathula achyranthoides,7740 bp,1,(No data),7740 (5304 indels),(No data),(No data),
Amaranthaceae Gomphrena celosioides,2001 bp,1,(No data),2001 (1314 indels),(No data),(No data),
Amaranthaceae Gomphrena elegans,1637 bp,1,(No data),(No data),(No data),"1637 (2 'N', 294 indels)",
Amaranthaceae Iresine diffusa,9287 bp,2,(No data),"7754 (2 'N', 5340 indels)",(No data),1533 (227 indels),
Amaranthaceae Blutaparon vermiculare,9382 bp,2,(No data),"7745 (3 'N', 5315 indels)",(No data),1637 (294 indels),
Amaranthaceae Xerosiphon aphyllus,9357 bp,2,(No data),7720 (5298 indels),(No data),"1637 (2 'N', 294 indels)",
Amaryllidaceae Crinum americanum,3269 bp,2,(No data),1719 (1053 indels),(No data),1550 (238 indels),
Amaryllidaceae Griffinia espiritensis,3659 bp,1,(No data),(No data),3659 (1700 indels),(No data),
Amaryllidaceae Griffinia parviflora,3777 bp,1,(No data),(No data),3777 (1701 indels),(No data),
Amaryllidaceae Hippeastrum aulicum,5373 bp,1,(No data),5373 (3586 indels),(No data),(No data),
Amaryllidaceae Hippeastrum brasilianum,3659 bp,1,(No data),(No data),3659 (1700 indels),(No data),
Amaryllidaceae Hippeastrum morelianum,3659 bp,1,(No data),(No data),3659 (1700 indels),(No data),
Amaryllidaceae Hippeastrum psittacinum,10699 bp,4,1551 (112 indels),3949 (2386 indels),3659 (1700 indels),1540 (206 indels),
