Taxon,Total length,No of charsets,atpB_final_alignment.fasta,matK_final_alignment.fasta,ndhF_final_alignment.fasta,rbcL_final_alignment.fasta,
Commelinaceae Tradescantia zanonia,593 bp,1,(No data),(No data),(No data),593 (29 indels),
Commelinaceae Tripogandra diuretica,2023 bp,1,(No data),(No data),(No data),"2023 (5 'N', 613 indels)",
Commelinaceae Tripogandra serrulata,636 bp,1,(No data),(No data),(No data),636 (29 indels),
Connaraceae Connarus punctatus,582 bp,1,(No data),(No data),(No data),582 (29 indels),
Convolvulaceae Aniseia cernua,3389 bp,2,1597 (133 indels),(No data),(No data),"1792 (1 'N', 391 indels)",
Convolvulaceae Iseia luxurians,3749 bp,2,1606 (133 indels),(No data),(No data),2143 (688 indels),
Convolvulaceae Aniseia martinicensis,3388 bp,2,"1606 (1 'N', 133 indels)",(No data),(No data),1782 (387 indels),
Convolvulaceae Calycobolus comp. OUTSIDE,2875 bp,2,"1606 (4 'N', 133 indels)",(No data),(No data),1269 (26 indels),
Convolvulaceae Convolvulus crenatifolius,2506 bp,2,(No data),1875 (1182 indels),(No data),631 (25 indels),
Convolvulaceae Merremia aegyptia,2206 bp,1,(No data),2206 (1429 indels),(No data),(No data),
Convolvulaceae Distimake comp. OUTSIDE,562 bp,1,(No data),(No data),(No data),"562 (1 'N', 27 indels)",
Convolvulaceae Evolvulus alsinoides,1544 bp,2,(No data),976 (470 indels),(No data),568 (25 indels),
Convolvulaceae Evolvulus glomeratus,3399 bp,2,1606 (133 indels),(No data),(No data),1793 (385 indels),
Convolvulaceae Evolvulus nummularius,2788 bp,2,(No data),2207 (1429 indels),(No data),581 (29 indels),
Convolvulaceae Evolvulus sericeus,3025 bp,2,(No data),1743 (1086 indels),(No data),1282 (26 indels),
Convolvulaceae Ipomoea alba,3656 bp,2,(No data),1528 (895 indels),(No data),2128 (700 indels),
Convolvulaceae Ipomoea asarifolia,745 bp,1,(No data),(No data),(No data),745 (25 indels),
Convolvulaceae Ipomoea cairica,3266 bp,2,(No data),1719 (1062 indels),(No data),1547 (227 indels),
Convolvulaceae Ipomoea carajasensis,2875 bp,2,(No data),2203 (1432 indels),(No data),672 (25 indels),
Convolvulaceae Ipomoea carnea,772 bp,1,(No data),(No data),(No data),772 (25 indels),
Convolvulaceae Ipomoea hederifolia,2623 bp,2,(No data),1719 (1062 indels),(No data),904 (343 indels),
Convolvulaceae Ipomoea imperati,3063 bp,2,(No data),1528 (895 indels),(No data),1535 (227 indels),
Convolvulaceae Ipomoea indica,3269 bp,2,(No data),1719 (1062 indels),(No data),1550 (227 indels),
Convolvulaceae Ipomoea mauritiana,4636 bp,3,"1586 (15 'N', 127 indels)",2366 (1504 indels),(No data),684 (25 indels),
Convolvulaceae Ipomoea pes-caprae,2416 bp,2,(No data),1854 (1170 indels),(No data),562 (25 indels),
Convolvulaceae Ipomoea philomega,1626 bp,1,(No data),(No data),(No data),"1626 (1 'N', 256 indels)",
Convolvulaceae Ipomoea purpurea,5874 bp,2,(No data),5293 (3580 indels),(No data),581 (29 indels),
Convolvulaceae Ipomoea quamoclit,4229 bp,3,1606 (133 indels),1719 (1062 indels),(No data),904 (343 indels),
Convolvulaceae Ipomoea rubens,2251 bp,1,(No data),2251 (1432 indels),(No data),(No data),
Convolvulaceae Ipomoea setifera,779 bp,1,(No data),(No data),(No data),779 (26 indels),
Convolvulaceae Ipomoea setosa,3372 bp,2,1606 (133 indels),(No data),(No data),"1766 (1 'N', 380 indels)",
Convolvulaceae Ipomoea tiliacea,3765 bp,2,1606 (133 indels),(No data),(No data),2159 (707 indels),
Convolvulaceae Ipomoea triloba,6213 bp,2,(No data),5309 (3592 indels),(No data),904 (343 indels),
Convolvulaceae Jacquemontia blanchetii,3104 bp,2,"1600 (2 'N', 133 indels)",(No data),(No data),"1504 (2 'N', 203 indels)",
Convolvulaceae Jacquemontia pentanthos,3392 bp,2,1606 (136 indels),(No data),(No data),1786 (385 indels),
Convolvulaceae Jacquemontia tamnifolia,6444 bp,3,1606 (133 indels),3934 (2443 indels),(No data),904 (343 indels),
Convolvulaceae Maripa glabra,3647 bp,2,1606 (142 indels),(No data),(No data),2041 (613 indels),
Convolvulaceae Maripa paniculata,3170 bp,2,"1575 (2 'N', 136 indels)",(No data),(No data),1595 (345 indels),
Convolvulaceae Merremia aegyptia,2855 bp,2,"1606 (5 'N', 133 indels)",(No data),(No data),"1249 (4 'N', 26 indels)",
Convolvulaceae Merremia comp. OUTSIDE,3325 bp,2,"1606 (5 'N', 133 indels)",1719 (1062 indels),(No data),(No data),
Convolvulaceae Merremia dissecta,5478 bp,3,1606 (133 indels),1719 (1062 indels),(No data),2153 (707 indels),
Convolvulaceae Merremia umbellata,3375 bp,2,"1606 (3 'N', 133 indels)",(No data),(No data),"1769 (4 'N', 381 indels)",
Convolvulaceae Odonellia hirtiflora,4371 bp,3,1606 (133 indels),"2183 (1 'N', 1426 indels)",(No data),"582 (1 'N', 29 indels)",
Convolvulaceae Turbina corymbosa,4884 bp,3,"1606 (1 'N', 133 indels)",1528 (895 indels),(No data),1750 (388 indels),
Cordiaceae Cordia alliodora,2185 bp,2,(No data),1603 (963 indels),(No data),582 (29 indels),
Cordiaceae Cordia bicolor,2774 bp,2,(No data),2210 (1441 indels),(No data),564 (25 indels),
Cordiaceae Varronia curassavica,2450 bp,2,(No data),1897 (1211 indels),(No data),553 (27 indels),
Cordiaceae Cordia nodosa,5664 bp,2,(No data),(No data),"3783 (2 'N', 1688 indels)",1881 (522 indels),
Cordiaceae Cordia oncocalyx,5077 bp,2,(No data),(No data),"3197 (21 'N', 1679 indels)",1880 (522 indels),
Cordiaceae Varronia polycephala,5950 bp,2,(No data),1897 (1211 indels),4053 (1896 indels),(No data),
Cordiaceae Cordia trichotoma,7979 bp,3,(No data),5075 (3455 indels),1682 (987 indels),1222 (26 indels),
Costaceae Costus scaber,2748 bp,2,(No data),2167 (1426 indels),(No data),581 (29 indels),
Coulaceae Minquartia guianensis,2673 bp,2,(No data),2091 (1303 indels),(No data),582 (29 indels),
Cucurbitaceae Cayaponia podantha,4492 bp,2,(No data),3181 (2051 indels),(No data),"1311 (1 'N', 26 indels)",
Cucurbitaceae Ceratosanthes palmata,4747 bp,2,(No data),"3002 (2 'N', 1882 indels)",(No data),1745 (357 indels),
Cucurbitaceae Cucumis anguria,4233 bp,2,(No data),3329 (2090 indels),(No data),904 (343 indels),
Cucurbitaceae Cucumis dipsaceus,3328 bp,1,(No data),3328 (2090 indels),(No data),(No data),
Cucurbitaceae Echinocystis comp. OUTSIDE,2283 bp,2,(No data),1702 (1023 indels),(No data),581 (29 indels),
Cucurbitaceae Echinopepon racemosus,4175 bp,2,(No data),3181 (2033 indels),(No data),994 (25 indels),
Cucurbitaceae Fevillea trilobata,1650 bp,1,(No data),(No data),(No data),1650 (294 indels),
Cucurbitaceae Luffa operculata,3181 bp,1,(No data),"3181 (4 'N', 2027 indels)",(No data),(No data),
Cucurbitaceae Melothria campestris,692 bp,1,(No data),(No data),(No data),692 (25 indels),
Cucurbitaceae Melothria pendula,3985 bp,2,(No data),"3081 (1 'N', 1942 indels)",(No data),904 (343 indels),
Cucurbitaceae Melothrianthus smilacifolius,4835 bp,2,(No data),"3181 (6 'N', 2019 indels)",(No data),"1654 (4 'N', 294 indels)",
Cucurbitaceae Gurania bignoniacea,2893 bp,2,(No data),2181 (1432 indels),(No data),712 (29 indels),
Cucurbitaceae Psiguria triphylla,2778 bp,2,(No data),2196 (1434 indels),(No data),"582 (1 'N', 29 indels)",
Cucurbitaceae Rytidostylis comp. OUTSIDE,4509 bp,2,(No data),"2753 (10 'N', 1663 indels)",(No data),"1756 (7 'N', 357 indels)",
Cucurbitaceae Sicydium tamnifolium,4887 bp,2,(No data),3181 (2039 indels),(No data),1706 (332 indels),
Cucurbitaceae Siolmatra brasiliensis,4885 bp,2,(No data),3181 (2030 indels),(No data),1704 (332 indels),
Cucurbitaceae Wilbrandia verticillata,3733 bp,2,(No data),"1968 (1 'N', 1316 indels)",(No data),1765 (357 indels),
Cunoniaceae Lamanonia ternata,3145 bp,2,(No data),2232 (1439 indels),(No data),913 (344 indels),
Cunoniaceae Weinmannia paulliniifolia,2857 bp,2,(No data),2202 (1438 indels),(No data),655 (25 indels),
Cyclanthaceae Evodianthus funifer,1917 bp,1,(No data),(No data),(No data),"1917 (6 'N', 546 indels)",
Cyclanthaceae Ludovia comp. OUTSIDE,1501 bp,1,(No data),(No data),(No data),"1501 (1 'N', 174 indels)",
Cymodoceaceae Halodule wrightii,7244 bp,3,(No data),2351 (1492 indels),3342 (1681 indels),1551 (207 indels),
Cymodoceaceae Ruppia maritima,5873 bp,3,(No data),1719 (1068 indels),3573 (1685 indels),581 (29 indels),
Cyperaceae Abildgaardia ovata,6592 bp,3,(No data),3289 (2052 indels),2762 (1630 indels),541 (25 indels),
Cyperaceae Becquerelia cymosa,2728 bp,2,(No data),2200 (1504 indels),(No data),528 (23 indels),
Cyperaceae Bolboschoenus robustus,7655 bp,3,(No data),3277 (2061 indels),2762 (1618 indels),1616 (294 indels),
Cyperaceae Bulbostylis capillaris,2940 bp,2,(No data),2408 (1504 indels),(No data),532 (24 indels),
Cyperaceae Bulbostylis hirtella,4836 bp,2,(No data),(No data),"3288 (435 'N', 1551 indels)",1548 (206 indels),
Cyperaceae Calyptrocarya bicolor,1500 bp,1,(No data),(No data),(No data),"1500 (243 'N', 345 indels)",
Cyperaceae Calyptrocarya glomerulata,5323 bp,3,(No data),"1955 (1 'N', 1249 indels)",2821 (1643 indels),547 (25 indels),
Cyperaceae Carex albolutescens,541 bp,1,(No data),(No data),(No data),541 (25 indels),
Cyperaceae Carex fuscula,2021 bp,1,(No data),(No data),(No data),2021 (613 indels),
Cyperaceae Uncinia hamata,3436 bp,2,(No data),(No data),2855 (1643 indels),581 (29 indels),
Cyperaceae Carex humboldtiana,3810 bp,1,(No data),(No data),"3810 (23 'N', 1704 indels)",(No data),
Cyperaceae Carex pseudocyperus,2675 bp,2,(No data),2094 (1304 indels),(No data),581 (29 indels),
Cyperaceae Cladium jamaicense,5042 bp,3,(No data),1373 (776 indels),2802 (1642 indels),867 (341 indels),
Cyperaceae Cladium mariscus,6954 bp,3,(No data),2254 (1436 indels),3786 (1703 indels),914 (344 indels),
Cyperaceae Cyperus aggregatus,5960 bp,2,(No data),3231 (2014 indels),2729 (1610 indels),(No data),
Cyperaceae Cyperus articulatus,5117 bp,3,(No data),1719 (1068 indels),2720 (1610 indels),678 (25 indels),
Cyperaceae Oxycaryum cubense,7510 bp,3,(No data),3233 (2014 indels),2729 (1619 indels),1548 (206 indels),
Cyperaceae Ascolepis brasiliensis,5316 bp,2,(No data),(No data),3768 (1703 indels),1548 (206 indels),
Cyperaceae Kyllinga brevifolia,6987 bp,3,(No data),3233 (2014 indels),2729 (1610 indels),1025 (344 indels),
Cyperaceae Cyperus comp. OUTSIDE,8605 bp,3,(No data),3289 (2058 indels),3768 (1703 indels),1548 (206 indels),
Cyperaceae Cyperus compressus,5343 bp,3,(No data),1719 (1068 indels),2720 (1610 indels),904 (343 indels),
Cyperaceae Cyperus cuspidatus,5254 bp,2,(No data),3233 (2014 indels),(No data),2021 (613 indels),
Cyperaceae Cyperus difformis,7614 bp,3,(No data),3228 (2014 indels),2729 (1610 indels),1657 (294 indels),
Cyperaceae Cyperus digitatus,6531 bp,3,(No data),3233 (2014 indels),2717 (1610 indels),581 (29 indels),
Cyperaceae Cyperus distans,552 bp,1,(No data),(No data),(No data),552 (25 indels),
Cyperaceae Cyperus eragrostis,6539 bp,3,(No data),3229 (2014 indels),2729 (1610 indels),581 (29 indels),
Cyperaceae Pycreus flavescens,6632 bp,3,(No data),3289 (2058 indels),2762 (1624 indels),581 (29 indels),
Cyperaceae Cyperus giganteus,5956 bp,2,(No data),3227 (2014 indels),2729 (1610 indels),(No data),
Cyperaceae Cyperus haspan,2623 bp,2,(No data),1719 (1068 indels),(No data),904 (343 indels),
Cyperaceae Kyllinga pumila,5950 bp,2,(No data),3233 (2014 indels),2717 (1610 indels),(No data),
Cyperaceae Cyperus imbricatus,5924 bp,2,(No data),3227 (2014 indels),2697 (1597 indels),(No data),
Cyperaceae Cyperus incomtus,5949 bp,2,(No data),3220 (2013 indels),2729 (1610 indels),(No data),
Cyperaceae Cyperus intricatus,5960 bp,2,(No data),3231 (2014 indels),2729 (1610 indels),(No data),
Cyperaceae Cyperus iria,5988 bp,3,(No data),1715 (1067 indels),2729 (1610 indels),1544 (227 indels),
Cyperaceae Pycreus lanceolatus,3227 bp,1,(No data),3227 (2014 indels),(No data),(No data),
Cyperaceae Cyperus ligularis,5973 bp,3,(No data),1719 (1068 indels),2720 (1610 indels),1534 (227 indels),
Cyperaceae Cyperus luzulae,6514 bp,3,(No data),3233 (2014 indels),2700 (1597 indels),581 (29 indels),
Cyperaceae Pycreus macrostachyos,5956 bp,2,(No data),3227 (2014 indels),2729 (1610 indels),(No data),
Cyperaceae Lipocarpha maculata,3227 bp,1,(No data),3227 (2014 indels),(No data),(No data),
Cyperaceae Cyperus ochraceus,5962 bp,2,(No data),3233 (2014 indels),2729 (1610 indels),(No data),
Cyperaceae Cyperus odoratus,5725 bp,3,(No data),2092 (1298 indels),2729 (1610 indels),904 (343 indels),
Cyperaceae Cyperus papyrus,7160 bp,4,1511 (104 indels),1983 (1237 indels),2762 (1624 indels),904 (343 indels),
Cyperaceae Remirea maritima,6751 bp,3,(No data),2001 (1305 indels),2729 (1610 indels),2021 (613 indels),
Cyperaceae Cyperus planifolius,5953 bp,2,(No data),3233 (2014 indels),2720 (1610 indels),(No data),
Cyperaceae Pycreus polystachyos,5618 bp,3,(No data),1995 (1298 indels),2719 (1610 indels),904 (343 indels),
Cyperaceae Cyperus prolixus,5941 bp,2,(No data),3227 (2014 indels),2714 (1609 indels),(No data),
Cyperaceae Cyperus reflexus,5950 bp,2,(No data),3233 (2014 indels),2717 (1610 indels),(No data),
Cyperaceae Cyperus retrorsus,5352 bp,3,(No data),1719 (1068 indels),2729 (1610 indels),904 (343 indels),
Cyperaceae Cyperus rigens,5948 bp,2,(No data),3233 (2014 indels),2715 (1609 indels),(No data),
Cyperaceae Cyperus rotundus,5786 bp,3,(No data),1532 (887 indels),2720 (1610 indels),1534 (227 indels),
Cyperaceae Lipocarpha humboldtiana,5944 bp,2,(No data),3227 (2014 indels),2717 (1610 indels),(No data),
Cyperaceae Kyllinga odorata,4578 bp,3,(No data),1719 (1068 indels),1309 (674 indels),1550 (227 indels),
Cyperaceae Cyperus sphacelatus,2858 bp,1,(No data),(No data),2858 (1643 indels),(No data),
Cyperaceae Cyperus squarrosus,6543 bp,3,(No data),3233 (2014 indels),2729 (1610 indels),581 (29 indels),
Cyperaceae Lipocarpha micrantha,5029 bp,3,(No data),1719 (1068 indels),2729 (1610 indels),581 (29 indels),
Cyperaceae Cyperus surinamensis,5334 bp,3,(No data),1719 (1068 indels),2717 (1610 indels),898 (343 indels),
Cyperaceae Cyperus tenuispica,1498 bp,1,(No data),(No data),(No data),1498 (203 indels),
Cyperaceae Cyperus virens,7212 bp,3,(No data),3233 (2014 indels),2729 (1610 indels),1250 (26 indels),
Cyperaceae Diplacrum capitatum,2819 bp,1,(No data),(No data),2819 (1638 indels),(No data),
Cyperaceae Diplasia karatifolia,3449 bp,2,(No data),(No data),2867 (1637 indels),582 (29 indels),
Cyperaceae Eleocharis atropurpurea,6632 bp,3,(No data),3289 (2058 indels),2762 (1621 indels),581 (29 indels),
Cyperaceae Eleocharis elegans,3746 bp,1,(No data),(No data),3746 (1700 indels),(No data),
Cyperaceae Eleocharis filiculmis,4383 bp,2,(No data),(No data),2835 (1654 indels),1548 (206 indels),
Cyperaceae Eleocharis flavescens,3445 bp,2,(No data),(No data),2864 (1640 indels),581 (29 indels),
Cyperaceae Eleocharis geniculata,4965 bp,3,(No data),"1620 (1 'N', 995 indels)",2764 (1630 indels),581 (29 indels),
Cyperaceae Eleocharis interstincta,6029 bp,3,(No data),1715 (1067 indels),2764 (1633 indels),1550 (227 indels),
Cyperaceae Eleocharis setifolia,2859 bp,1,(No data),(No data),2859 (1655 indels),(No data),
Cyperaceae Exochogyne amazonica,582 bp,1,(No data),(No data),(No data),582 (29 indels),
Cyperaceae Fimbristylis autumnalis,2300 bp,2,(No data),1719 (1062 indels),(No data),581 (29 indels),
Cyperaceae Fimbristylis complanata,4384 bp,2,(No data),(No data),2886 (1649 indels),1498 (203 indels),
Cyperaceae Fimbristylis cymosa,2737 bp,2,(No data),1449 (864 indels),(No data),1288 (26 indels),
Cyperaceae Fimbristylis dichotoma,6954 bp,3,(No data),3289 (2040 indels),2761 (1630 indels),904 (343 indels),
Cyperaceae Fimbristylis ferruginea,4343 bp,2,(No data),(No data),2795 (1664 indels),1548 (206 indels),
Cyperaceae Fimbristylis miliacea,3792 bp,2,(No data),2294 (1479 indels),(No data),1498 (203 indels),
Cyperaceae Fimbristylis spadicea,2790 bp,2,(No data),1503 (873 indels),(No data),1287 (26 indels),
Cyperaceae Fimbristylis squarrosa,1469 bp,1,(No data),(No data),(No data),1469 (176 indels),
Cyperaceae Fuirena robusta,5959 bp,2,(No data),3230 (2020 indels),2729 (1601 indels),(No data),
Cyperaceae Fuirena umbellata,8072 bp,3,(No data),3289 (2064 indels),2762 (1615 indels),2021 (613 indels),
Cyperaceae Hypolytrum bullatum,2021 bp,1,(No data),(No data),(No data),2021 (613 indels),
Cyperaceae Hypolytrum longifolium,5334 bp,2,(No data),(No data),3786 (1697 indels),1548 (206 indels),
Cyperaceae Lagenocarpus albo-niger,4685 bp,2,(No data),(No data),3024 (1425 indels),"1661 (21 'N', 294 indels)",
Cyperaceae Lagenocarpus rigidus,582 bp,1,(No data),(No data),(No data),582 (29 indels),
Cyperaceae Machaerina comp. OUTSIDE,5466 bp,2,(No data),(No data),3786 (1709 indels),1680 (294 indels),
Cyperaceae Pleurostachys stricta,5316 bp,2,(No data),(No data),3768 (1703 indels),1548 (206 indels),
Cyperaceae Rhynchospora albiceps,5316 bp,2,(No data),(No data),3768 (1706 indels),1548 (206 indels),
Cyperaceae Rhynchospora barbata,2820 bp,1,(No data),(No data),2820 (1644 indels),(No data),
Cyperaceae Rhynchospora cephalotes,2904 bp,1,(No data),(No data),2904 (1671 indels),(No data),
Cyperaceae Rhynchospora corymbosa,581 bp,1,(No data),(No data),(No data),581 (29 indels),
Cyperaceae Rhynchospora globosa,4587 bp,2,(No data),(No data),3039 (1425 indels),1548 (206 indels),
Cyperaceae Rhynchospora marisculus,5316 bp,2,(No data),(No data),3768 (1709 indels),1548 (206 indels),
Cyperaceae Rhynchospora nervosa,5185 bp,3,"1567 (4 'N', 121 indels)",1597 (978 indels),(No data),2021 (613 indels),
Cyperaceae Rhynchospora polyphylla,2451 bp,2,(No data),1870 (1178 indels),(No data),581 (29 indels),
Cyperaceae Rhynchospora pubera,2773 bp,1,(No data),(No data),2773 (1640 indels),(No data),
Cyperaceae Rhynchospora radicans,2788 bp,1,(No data),(No data),2788 (1639 indels),(No data),
Cyperaceae Rhynchospora riparia,2809 bp,1,(No data),(No data),2809 (1633 indels),(No data),
Cyperaceae Rhynchospora rugosa,2788 bp,1,(No data),(No data),2788 (1632 indels),(No data),
Cyperaceae Rhynchospora tenerrima,2852 bp,1,(No data),(No data),2852 (1643 indels),(No data),
Cyperaceae Schoenoplectus californicus,7657 bp,3,(No data),3289 (2064 indels),"2762 (1 'N', 1624 indels)",1606 (294 indels),
Cyperaceae Scleria distans,1680 bp,1,(No data),(No data),(No data),1680 (294 indels),
Cyperaceae Scleria gaertneri,581 bp,1,(No data),(No data),(No data),581 (29 indels),
Cyperaceae Scleria latifolia,5252 bp,3,(No data),1905 (1234 indels),2766 (1625 indels),581 (29 indels),
Cyperaceae Scleria macrogyne,2810 bp,1,(No data),(No data),2810 (1628 indels),(No data),
Cyperaceae Scleria mitis,2773 bp,1,(No data),(No data),2773 (1631 indels),(No data),
Cyperaceae Scleria reticularis,5385 bp,3,(No data),1601 (971 indels),"2880 (27 'N', 1347 indels)",904 (343 indels),
Cyperaceae Scleria verticillata,2300 bp,2,(No data),1719 (1068 indels),(No data),581 (29 indels),
Cyperaceae Trilepis lhotzkiana,2021 bp,1,(No data),(No data),(No data),2021 (613 indels),
Dichapetalaceae Dichapetalum rugosum,1331 bp,1,(No data),(No data),(No data),1331 (30 indels),
Dichapetalaceae Tapura comp. OUTSIDE,7328 bp,3,1612 (139 indels),4016 (3211 indels),(No data),1700 (298 indels),
Dilleniaceae Curatella americana,3975 bp,2,(No data),2192 (1434 indels),(No data),1783 (336 indels),
Dilleniaceae Davilla angustifolia,2764 bp,2,(No data),2221 (1438 indels),(No data),543 (24 indels),
Dilleniaceae Davilla bahiana,2764 bp,2,(No data),2221 (1438 indels),(No data),543 (24 indels),
Dilleniaceae Davilla cearensis,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla elliptica,2769 bp,2,(No data),2218 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla flexuosa,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla grandiflora,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla grandifolia,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla latifolia,2759 bp,2,(No data),2216 (1438 indels),(No data),543 (24 indels),
Dilleniaceae Davilla macrocarpa,2772 bp,2,(No data),"2221 (2 'N', 1438 indels)",(No data),551 (24 indels),
Dilleniaceae Davilla minutifolia,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla nitida,2739 bp,2,(No data),2157 (1419 indels),(No data),582 (29 indels),
Dilleniaceae Davilla rugosa,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Davilla sessilifolia,2747 bp,2,(No data),2196 (1431 indels),(No data),551 (24 indels),
Dilleniaceae Davilla tintinnabulata,2772 bp,2,(No data),"2221 (1 'N', 1438 indels)",(No data),551 (24 indels),
Dilleniaceae Davilla villosa,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Doliocarpus dentatus,582 bp,1,(No data),(No data),(No data),582 (29 indels),
Dilleniaceae Doliocarpus elegans,1884 bp,1,(No data),(No data),(No data),1884 (522 indels),
Dilleniaceae Doliocarpus major,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Doliocarpus validus,2764 bp,2,(No data),2221 (1438 indels),(No data),543 (24 indels),
Dilleniaceae Tetracera boomii,2772 bp,2,(No data),2221 (1438 indels),(No data),551 (24 indels),
Dilleniaceae Tetracera empedoclea,2772 bp,2,(No data),"2221 (1 'N', 1438 indels)",(No data),551 (24 indels),
Dilleniaceae Tetracera oblongata,2122 bp,1,(No data),(No data),(No data),2122 (677 indels),
Dioscoreaceae Dioscorea acanthogene,703 bp,1,(No data),(No data),(No data),703 (25 indels),
Dioscoreaceae Dioscorea altissima,913 bp,1,(No data),(No data),(No data),913 (344 indels),
Dioscoreaceae Dioscorea amaranthoides,3179 bp,2,(No data),2261 (1433 indels),(No data),918 (344 indels),
Dioscoreaceae Dioscorea asperula,3182 bp,2,(No data),"2264 (1 'N', 1433 indels)",(No data),918 (344 indels),
Dioscoreaceae Dioscorea campestris,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea coronata,3181 bp,2,(No data),2264 (1433 indels),(No data),917 (344 indels),
Dioscoreaceae Dioscorea cynanchifolia,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea demourae,919 bp,1,(No data),(No data),(No data),919 (344 indels),
Dioscoreaceae Dioscorea dodecaneura,3169 bp,2,(No data),2252 (1433 indels),(No data),917 (344 indels),
Dioscoreaceae Dioscorea glandulosa,535 bp,1,(No data),(No data),(No data),535 (24 indels),
Dioscoreaceae Dioscorea grandiflora,3065 bp,2,(No data),2362 (1498 indels),(No data),703 (25 indels),
Dioscoreaceae Dioscorea grisebachii,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea hassleriana,3174 bp,2,(No data),"2255 (1 'N', 1433 indels)",(No data),919 (344 indels),
Dioscoreaceae Dioscorea laxiflora,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea leptostachya,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea maianthemoides,3179 bp,2,(No data),2260 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea marginata,3179 bp,2,(No data),2260 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea mollis,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea monadelpha,3182 bp,2,(No data),2264 (1433 indels),(No data),918 (344 indels),
Dioscoreaceae Dioscorea multiflora,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea olfersiana,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea orthogoneura,703 bp,1,(No data),(No data),(No data),703 (25 indels),
Dioscoreaceae Dioscorea ovata,915 bp,1,(No data),(No data),(No data),915 (344 indels),
Dioscoreaceae Dioscorea perdicum,3181 bp,2,(No data),2264 (1433 indels),(No data),917 (344 indels),
Dioscoreaceae Dioscorea piperifolia,3183 bp,2,(No data),2264 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea pohlii,3065 bp,2,(No data),2362 (1498 indels),(No data),703 (25 indels),
Dioscoreaceae Dioscorea polygonoides,4204 bp,3,"1460 (2 'N', 104 indels)",2159 (1422 indels),(No data),585 (29 indels),
Dioscoreaceae Dioscorea sincorensis,635 bp,1,(No data),(No data),(No data),635 (25 indels),
Dioscoreaceae Dioscorea sinuata,3176 bp,2,(No data),2261 (1433 indels),(No data),915 (344 indels),
Dioscoreaceae Dioscorea stegelmanniana,3172 bp,2,(No data),2253 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea stenophylla,703 bp,1,(No data),(No data),(No data),703 (25 indels),
Dioscoreaceae Dioscorea subhastata,3180 bp,2,(No data),2261 (1433 indels),(No data),919 (344 indels),
Dioscoreaceae Dioscorea therezopolensis,3177 bp,2,(No data),2264 (1433 indels),(No data),913 (344 indels),
Dioscoreaceae Dioscorea trifida,2976 bp,2,(No data),2273 (1479 indels),(No data),"703 (22 'N', 25 indels)",
Dioscoreaceae Dioscorea trilinguis,918 bp,1,(No data),(No data),(No data),918 (344 indels),
Dioscoreaceae Dioscorea trisecta,3177 bp,2,(No data),2260 (1433 indels),(No data),917 (344 indels),
Droseraceae Drosera brevifolia,904 bp,1,(No data),(No data),(No data),904 (343 indels),
Droseraceae Drosera chrysolepis,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
Droseraceae Drosera graminifolia,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
Droseraceae Drosera graomogolensis,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
Droseraceae Drosera hirtella,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
Droseraceae Drosera intermedia,581 bp,1,(No data),(No data),(No data),581 (29 indels),
Droseraceae Drosera montana,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
Droseraceae Drosera sessilifolia,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
Droseraceae Drosera villosa,1253 bp,1,(No data),(No data),(No data),1253 (26 indels),
